User_id,FirstServiceid,SecondServiceid,FirstServiceDate,SecondServiceDate,LastServiceid,LastServiceDate,TotalService
2464231,18,667,7-Jan-18,16-Jan-18,982,23-Jul-18,10
3676235,273,481,5-Jan-18,6-Jan-18,355,12-Apr-18,9
4958104,946,310,22-Jan-18,22-Jan-18,268,30-Jun-18,7
11642209,20,666,1-Jan-18,2-Jan-18,666,29-Jun-18,14
18246539,984,269,22-Mar-18,22-Mar-18,666,1-Apr-18,4
20831230,667,11,1-Jan-18,1-Jan-18,1366,8-Feb-18,4
21307673,1014,981,3-Jan-18,3-Jan-18,981,27-Jul-18,10
25674126,1136,333,2-Jan-18,2-Jan-18,666,26-Jul-18,12
30456022,481,18,3-Jan-18,3-Jan-18,18,3-Mar-18,2
31485023,1014,487,3-Jan-18,3-Jan-18,1014,10-Jan-18,4
36142806,1014,487,4-Jan-18,4-Jan-18,268,3-Jul-18,14
36301869,273,668,4-Jan-18,4-Jan-18,18,26-Jul-18,25
38411702,2,2,23-May-17,12-Jun-17,981,21-Jun-18,7
40708013,667,981,29-Jan-18,16-Feb-18,10,25-Jul-18,9
40708072,20,981,1-Jan-18,20-Jan-18,125,16-Jul-18,25
40710302,12,481,21-May-18,23-May-18,285,24-Jun-18,5
40713102,299,487,2-Jan-18,2-Jan-18,271,20-Jul-18,11
40715261,273,658,2-Jan-18,2-Jan-18,271,27-Apr-18,11
40716114,1136,1014,2-Jan-18,2-Jan-18,1136,2-Jan-18,2
40717503,1136,1366,2-Jan-18,18-Apr-18,1366,18-Apr-18,2
40720159,20,1014,8-Jan-18,8-Jan-18,1014,19-Jul-18,8
40721453,981,742,11-Feb-18,11-Feb-18,3998,23-Jul-18,7
40721654,1014,20,3-Jan-18,3-Jan-18,270,30-Jun-18,6
40721940,11,11,22-Jan-18,16-Jun-18,11,16-Jun-18,1
40722339,333,13,18-Apr-18,18-Apr-18,269,26-Jul-18,13
40725207,4,667,4-Jan-18,21-Jan-18,273,7-Jul-18,4
40725355,299,1014,8-Jun-18,9-Jun-18,983,25-Jun-18,5
40726229,19,487,5-Jan-18,5-Jan-18,1014,8-Jan-18,4
40726664,1014,299,29-Mar-18,8-Apr-18,299,25-Jul-18,4
40727154,487,742,4-Jan-18,4-Jan-18,487,6-Jan-18,3
40728678,20,268,12-Jan-18,12-Jan-18,270,30-Jun-18,7
40729435,65,946,4-Jan-18,4-Jan-18,946,25-Jan-18,3
40732990,487,742,5-Jan-18,5-Jan-18,271,8-Feb-18,6
40733443,299,487,5-Jan-18,5-Jan-18,981,18-Feb-18,5
40740734,487,18,6-Jan-18,6-Jan-18,1366,8-Feb-18,3
40741577,47,299,25-Jun-18,25-Jun-18,47,18-Jul-18,5
40743306,273,481,6-Jan-18,13-Jan-18,271,30-Jun-18,13
40743475,981,20,6-Jan-18,6-Jan-18,981,6-Jan-18,3
40745532,299,271,7-Jan-18,20-Jan-18,271,31-May-18,4
40747002,20,667,7-Jan-18,7-Jan-18,20,26-Jul-18,6
40748360,18,66,8-Jan-18,3-Feb-18,66,5-Jun-18,8
40749915,299,487,11-Jan-18,11-Jan-18,666,5-Jul-18,7
40750022,13,268,7-Jan-18,8-Jan-18,667,29-Jun-18,7
